h-p-lovecraft|H. P. Lovecraft|1890-08-20|1937-03-15|USA|literature|man|Created a cosmic-horror mythology that became enormously influential in later fiction, games and film.|H._P._Lovecraft|iconic
arthur-rimbaud|Arthur Rimbaud|1854-10-20|1891-11-10|France|literature|man|Revolutionized modern poetry through visionary verse written largely before the age of 21.|Arthur_Rimbaud|iconic
federico-garcia-lorca|Federico García Lorca|1898-06-05|1936-08-19|Spain|literature|man|Became one of Spain’s defining poets and playwrights through works combining folklore and modernism.|Federico_García_Lorca|iconic
david-foster-wallace|David Foster Wallace|1962-02-21|2008-09-12|USA|literature|man|Wrote formally inventive fiction and essays that examined American culture, entertainment and attention.|David_Foster_Wallace|well-known
alexander-pushkin|Alexander Pushkin|1799-06-06|1837-02-10|Russia|literature|man|Founded modern Russian literature through poetry, fiction and Eugene Onegin.|Alexander_Pushkin|iconic
mikhail-lermontov|Mikhail Lermontov|1814-10-15|1841-07-27|Russia|literature|man|Became one of Russia’s major Romantic poets and novelists before turning 27.|Mikhail_Lermontov|well-known
robert-burns|Robert Burns|1759-01-25|1796-07-21|Scotland|literature|man|Became Scotland’s national poet through vernacular poems and songs including Auld Lang Syne.|Robert_Burns|iconic
gerard-de-nerval|Gérard de Nerval|1808-05-22|1855-01-26|France|literature|man|Influenced French Romanticism through poetry, prose and dreamlike autobiographical writing.|Gérard_de_Nerval|well-known
dylan-thomas|Dylan Thomas|1914-10-27|1953-11-09|Wales|literature|man|Became one of the 20th century’s best-known English-language poets through intensely musical verse.|Dylan_Thomas|iconic
ingeborg-bachmann|Ingeborg Bachmann|1926-06-25|1973-10-17|Austria|literature|woman|Became a major postwar German-language writer through poetry, fiction and radio plays.|Ingeborg_Bachmann|well-known
mary-anning|Mary Anning|1799-05-21|1847-03-09|UK|science|woman|Made important fossil discoveries that helped establish paleontology as a scientific discipline.|Mary_Anning|iconic
georgy-gamow|George Gamow|1904-03-04|1968-08-19|Russia / USA|science|man|Made major contributions to quantum theory, cosmology and popular science writing.|George_Gamow|well-known
mark-weiser|Mark Weiser|1952-07-23|1999-04-27|USA|engineering|man|Coined and developed the influential concept of ubiquitous computing at Xerox PARC.|Mark_Weiser|well-known
philo-farnsworth|Philo Farnsworth|1906-08-19|1971-03-11|USA|engineering|man|Developed key technology for fully electronic television while still a young inventor.|Philo_Farnsworth|iconic
roger-chaffee|Roger Chaffee|1935-02-15|1967-01-27|USA|exploration|man|Was a NASA astronaut selected for the first crewed Apollo mission.|Roger_B._Chaffee|well-known
gus-grissom|Gus Grissom|1926-04-03|1967-01-27|USA|exploration|man|Was one of NASA’s original Mercury Seven astronauts and flew in both Mercury and Gemini programs.|Gus_Grissom|iconic
ed-white|Ed White|1930-11-14|1967-01-27|USA|exploration|man|Performed the first American spacewalk during the Gemini 4 mission.|Ed_White_(astronaut)|iconic
vladimir-komarov|Vladimir Komarov|1927-03-16|1967-04-24|USSR|exploration|man|Was a Soviet test pilot and cosmonaut who commanded the Soyuz 1 mission.|Vladimir_Komarov|well-known
ilan-ramon|Ilan Ramon|1954-06-20|2003-02-01|Israel|exploration|man|Became the first Israeli astronaut and flew aboard the Space Shuttle Columbia.|Ilan_Ramon|well-known
che-guevara|Che Guevara|1928-06-14|1967-10-09|Argentina / Cuba|activism|man|Became an international revolutionary symbol through his role in the Cuban Revolution and later insurgencies.|Che_Guevara|iconic
pancho-villa|Pancho Villa|1878-06-05|1923-07-20|Mexico|activism|man|Led revolutionary forces during the Mexican Revolution and became a lasting historical symbol.|Pancho_Villa|iconic
amilcar-cabral|Amílcar Cabral|1924-09-12|1973-01-20|Guinea-Bissau / Cape Verde|activism|man|Led an influential anti-colonial movement and helped guide Guinea-Bissau toward independence.|Amílcar_Cabral|well-known
huey-newton|Huey P. Newton|1942-02-17|1989-08-22|USA|activism|man|Co-founded the Black Panther Party and helped shape the politics of Black self-determination.|Huey_P._Newton|well-known
bobby-sands|Bobby Sands|1954-03-09|1981-05-05|Northern Ireland|activism|man|Became an international symbol of the Northern Irish conflict during a 1981 hunger strike.|Bobby_Sands|well-known
rachel-corrie|Rachel Corrie|1979-04-10|2003-03-16|USA|activism|woman|Became internationally known through her work with the International Solidarity Movement in Gaza.|Rachel_Corrie|well-known
berta-caceres|Berta Cáceres|1971-03-04|2016-03-02|Honduras|activism|woman|Led campaigns defending Indigenous land and environmental rights and received the Goldman Prize.|Berta_Cáceres|well-known
aung-san|Aung San|1915-02-13|1947-07-19|Myanmar|politics|man|Helped lead Burma’s independence movement and negotiated the foundations of the modern state.|Aung_San|well-known
tom-mboya|Tom Mboya|1930-08-15|1969-07-05|Kenya|politics|man|Was a central figure in Kenya’s independence movement and its early national government.|Tom_Mboya|well-known
audrey-hepburn|Audrey Hepburn|1929-05-04|1993-01-20|UK|film|woman|Became one of cinema’s most enduring stars and later served as a UNICEF Goodwill Ambassador.|Audrey_Hepburn|iconic
paul-newman|Paul Newman|1925-01-26|2008-09-26|USA|film|man|Won major acting awards, directed films and built a food company whose profits supported charity.|Paul_Newman|iconic
sidney-poitier|Sidney Poitier|1927-02-20|2022-01-06|Bahamas|film|man|Became the first Black man to win the Academy Award for Best Actor and a major Hollywood star.|Sidney_Poitier|iconic
james-stewart|James Stewart|1908-05-20|1997-07-02|USA|film|man|Starred in landmark films including Mr. Smith Goes to Washington, Vertigo and Rear Window.|James_Stewart|iconic
elizabeth-taylor|Elizabeth Taylor|1932-02-27|2011-03-23|UK|film|woman|Won two Academy Awards and became one of the defining stars of classical Hollywood cinema.|Elizabeth_Taylor|iconic
robin-williams|Robin Williams|1951-07-21|2014-08-11|USA|film|man|Combined improvisational comedy with acclaimed dramatic performances across film, television and stage.|Robin_Williams|iconic
alan-rickman|Alan Rickman|1946-02-21|2016-01-14|UK|film|man|Built a wide-ranging career in theatre and film, including Die Hard, Sense and Sensibility and Harry Potter.|Alan_Rickman|well-known
satyajit-ray|Satyajit Ray|1921-05-02|1992-04-23|India|film|man|Directed internationally influential films including Pather Panchali and received an Academy Honorary Award.|Satyajit_Ray|iconic
akira-kurosawa|Akira Kurosawa|1910-03-23|1998-09-06|Japan|film|man|Directed influential films such as Rashomon, Seven Samurai and Ikiru that reshaped world cinema.|Akira_Kurosawa|iconic
federico-fellini|Federico Fellini|1920-01-20|1993-10-31|Italy|film|man|Directed visually distinctive films including La Dolce Vita, 8½ and Amarcord.|Federico_Fellini|iconic
david-bowie|David Bowie|1947-01-08|2016-01-10|UK|music|man|Constantly reinvented popular music through landmark albums, personas and collaborations.|David_Bowie|iconic
aretha-franklin|Aretha Franklin|1942-03-25|2018-08-16|USA|music|woman|Became the Queen of Soul through a defining catalogue and powerful civil-rights-era performances.|Aretha_Franklin|iconic
johnny-cash|Johnny Cash|1932-02-26|2003-09-12|USA|music|man|Developed a distinctive country style across a half-century career of songwriting and performance.|Johnny_Cash|iconic
ella-fitzgerald|Ella Fitzgerald|1917-04-25|1996-06-15|USA|music|woman|Became one of the most acclaimed jazz singers through her range, diction and celebrated recordings.|Ella_Fitzgerald|iconic
louis-armstrong|Louis Armstrong|1901-08-04|1971-07-06|USA|music|man|Transformed jazz trumpet and popular singing through his virtuosity, phrasing and recordings.|Louis_Armstrong|iconic
frank-sinatra|Frank Sinatra|1915-12-12|1998-05-14|USA|music|man|Became a defining popular singer and actor through recordings with major orchestras and arrangers.|Frank_Sinatra|iconic
nina-simone|Nina Simone|1933-02-21|2003-04-21|USA|music|woman|Blended jazz, blues, classical and protest music into an influential and emotionally direct body of work.|Nina_Simone|iconic
leonard-cohen|Leonard Cohen|1934-09-21|2016-11-07|Canada|music|man|Wrote poetic songs including Hallelujah and built a long career as a singer-songwriter.|Leonard_Cohen|iconic
george-michael|George Michael|1963-06-25|2016-12-25|UK|music|man|Sold millions of records as a solo artist and member of Wham!, while supporting humanitarian causes.|George_Michael|well-known
donna-summer|Donna Summer|1948-12-31|2012-05-17|USA|music|woman|Helped define disco and became a major pop vocalist through a run of international hit recordings.|Donna_Summer|iconic
etta-james|Etta James|1938-01-25|2012-01-20|USA|music|woman|Recorded enduring blues, soul and R&B standards including At Last and I’d Rather Go Blind.|Etta_James|well-known
fela-kuti|Fela Kuti|1938-10-15|1997-08-02|Nigeria|music|man|Created Afrobeat and used his music and performances as outspoken political commentary.|Fela_Kuti|well-known
miriam-makeba|Miriam Makeba|1932-03-04|2008-11-09|South Africa|music|woman|Brought South African music to global audiences and campaigned against apartheid.|Miriam_Makeba|well-known
james-baldwin|James Baldwin|1924-08-02|1987-12-01|USA|literature|man|Produced influential essays, novels and plays examining race, sexuality, religion and American society.|James_Baldwin|iconic
toni-morrison|Toni Morrison|1931-02-18|2019-08-05|USA|literature|woman|Won the Nobel Prize in Literature and wrote major novels including Beloved and Song of Solomon.|Toni_Morrison|iconic
gabriel-garcia-marquez|Gabriel García Márquez|1927-03-06|2014-04-17|Colombia|literature|man|Popularized magical realism internationally through novels including One Hundred Years of Solitude.|Gabriel_García_Márquez|iconic
chinua-achebe|Chinua Achebe|1930-11-16|2013-03-21|Nigeria|literature|man|Wrote Things Fall Apart, a foundational modern African novel translated worldwide.|Chinua_Achebe|iconic
jorge-luis-borges|Jorge Luis Borges|1899-08-24|1986-06-14|Argentina|literature|man|Reinvented the possibilities of short fiction through labyrinthine stories, essays and poems.|Jorge_Luis_Borges|iconic
langston-hughes|Langston Hughes|1901-02-01|1967-05-22|USA|literature|man|Became a central voice of the Harlem Renaissance through poetry, fiction, essays and drama.|Langston_Hughes|iconic
j-r-r-tolkien|J. R. R. Tolkien|1892-01-03|1973-09-02|UK|literature|man|Created Middle-earth and wrote The Hobbit and The Lord of the Rings, foundational works of modern fantasy.|J._R._R._Tolkien|iconic
leo-tolstoy|Leo Tolstoy|1828-09-09|1910-11-20|Russia|literature|man|Wrote canonical novels including War and Peace and Anna Karenina and developed influential ethical ideas.|Leo_Tolstoy|iconic
james-joyce|James Joyce|1882-02-02|1941-01-13|Ireland|literature|man|Revolutionized modernist fiction through Ulysses, Dubliners and Finnegans Wake.|James_Joyce|iconic
ernest-hemingway|Ernest Hemingway|1899-07-21|1961-07-02|USA|literature|man|Won the Nobel Prize in Literature and developed a concise style across novels, stories and journalism.|Ernest_Hemingway|iconic
r-k-narayan|R. K. Narayan|1906-10-10|2001-05-13|India|literature|man|Created the fictional South Indian town of Malgudi in a widely read body of novels and stories.|R._K._Narayan|well-known
w-b-yeats|W. B. Yeats|1865-06-13|1939-01-28|Ireland|literature|man|Won the Nobel Prize in Literature and became one of the major poets of the twentieth century.|W._B._Yeats|iconic
t-s-eliot|T. S. Eliot|1888-09-26|1965-01-04|USA|literature|man|Shaped modernist poetry and criticism through works including The Waste Land and Four Quartets.|T._S._Eliot|iconic
stephen-hawking|Stephen Hawking|1942-01-08|2018-03-14|UK|science|man|Made major contributions to theoretical physics and communicated cosmology to a global public.|Stephen_Hawking|iconic
carl-sagan|Carl Sagan|1934-11-09|1996-12-20|USA|science|man|Advanced planetary science and made scientific skepticism and astronomy accessible through Cosmos.|Carl_Sagan|iconic
richard-feynman|Richard Feynman|1918-05-11|1988-02-15|USA|science|man|Made foundational contributions to quantum electrodynamics and became a renowned physics educator.|Richard_Feynman|iconic
rachel-carson|Rachel Carson|1907-05-27|1964-04-14|USA|science|woman|Her book Silent Spring helped launch the modern environmental movement by documenting pesticide harms.|Rachel_Carson|iconic
nikola-tesla|Nikola Tesla|1856-07-10|1943-01-07|Serbia|science|man|Developed influential electrical systems and inventions, including work on alternating-current power.|Nikola_Tesla|iconic
alexander-fleming|Alexander Fleming|1881-08-06|1955-03-11|UK|science|man|Discovered penicillin and shared the Nobel Prize for transforming the treatment of bacterial infections.|Alexander_Fleming|iconic
louis-pasteur|Louis Pasteur|1822-12-27|1895-09-28|France|science|man|Established principles of microbial disease and vaccination and developed pasteurization.|Louis_Pasteur|iconic
chien-shiung-wu|Chien-Shiung Wu|1912-05-31|1997-02-16|China / USA|science|woman|Conducted the experiment that demonstrated parity violation in weak nuclear interactions.|Chien-Shiung_Wu|well-known
abdus-salam|Abdus Salam|1926-01-29|1996-11-21|Pakistan|science|man|Shared the Nobel Prize in Physics for unifying electromagnetic and weak nuclear interactions.|Abdus_Salam|well-known
vera-rubin|Vera Rubin|1928-07-23|2016-12-25|USA|science|woman|Provided influential evidence for dark matter through observations of galaxy rotation.|Vera_Rubin|well-known
kurt-godel|Kurt Gödel|1906-04-28|1978-01-14|Austria|mathematics|man|Proved incompleteness theorems that transformed the foundations of mathematics and logic.|Kurt_Gödel|iconic
david-hilbert|David Hilbert|1862-01-23|1943-02-14|Germany|mathematics|man|Formulated influential problems and advances across geometry, algebra, analysis and mathematical logic.|David_Hilbert|iconic
john-nash|John Nash|1928-06-13|2015-05-23|USA|mathematics|man|Developed foundational work in game theory and differential geometry and received the Nobel Prize in Economics.|John_Forbes_Nash_Jr.|iconic
benoit-mandelbrot|Benoît Mandelbrot|1924-11-20|2010-10-14|Poland / France|mathematics|man|Developed fractal geometry and applied it to patterns in nature, finance and science.|Benoit_Mandelbrot|well-known
alexander-grothendieck|Alexander Grothendieck|1928-03-28|2014-11-13|Germany|mathematics|man|Recast algebraic geometry through highly abstract theories that transformed modern mathematics.|Alexander_Grothendieck|well-known
nelson-mandela|Nelson Mandela|1918-07-18|2013-12-05|South Africa|activism|man|Led the struggle against apartheid, became South Africa’s first Black president and won the Nobel Peace Prize.|Nelson_Mandela|iconic
mahatma-gandhi|Mahatma Gandhi|1869-10-02|1948-01-30|India|activism|man|Developed mass nonviolent resistance as a central strategy in India’s independence movement.|Mahatma_Gandhi|iconic
winston-churchill|Winston Churchill|1874-11-30|1965-01-24|UK|politics|man|Led Britain during much of the Second World War and also wrote extensively as a historian and statesman.|Winston_Churchill|iconic
margaret-thatcher|Margaret Thatcher|1925-10-13|2013-04-08|UK|politics|woman|Served as Britain’s first woman prime minister and reshaped its economic and political agenda.|Margaret_Thatcher|iconic
golda-meir|Golda Meir|1898-05-03|1978-12-08|Israel|politics|woman|Served as Israel’s fourth prime minister and was a major figure in the country’s early political history.|Golda_Meir|well-known
eleanor-roosevelt|Eleanor Roosevelt|1884-10-11|1962-11-07|USA|activism|woman|Redefined the role of First Lady and helped draft the Universal Declaration of Human Rights.|Eleanor_Roosevelt|iconic
desmond-tutu|Desmond Tutu|1931-10-07|2021-12-26|South Africa|activism|man|Opposed apartheid and chaired South Africa’s Truth and Reconciliation Commission after the transition to democracy.|Desmond_Tutu|iconic
rosa-parks|Rosa Parks|1913-02-04|2005-10-24|USA|activism|woman|Her refusal to surrender a bus seat became a catalyst for the Montgomery bus boycott and civil-rights movement.|Rosa_Parks|iconic
cesar-chavez|César Chávez|1927-03-31|1993-04-23|USA|activism|man|Co-founded the United Farm Workers and organized nonviolent campaigns for agricultural labor rights.|César_Chávez|well-known
gustav-klimt|Gustav Klimt|1862-07-14|1918-02-06|Austria|art|man|Led the Vienna Secession and created ornamental paintings including The Kiss.|Gustav_Klimt|iconic
georgia-okeeffe|Georgia O'Keeffe|1887-11-15|1986-03-06|USA|art|woman|Developed a distinctive modernist language through enlarged flowers, landscapes and abstract forms.|Georgia_O'Keeffe|iconic
andy-warhol|Andy Warhol|1928-08-06|1987-02-22|USA|art|man|Made mass media, consumer products and celebrity central subjects of postwar pop art.|Andy_Warhol|iconic
henri-matisse|Henri Matisse|1869-12-31|1954-11-03|France|art|man|Became a leading modernist painter through vivid color, simplified form and influential cut-outs.|Henri_Matisse|iconic
salvador-dali|Salvador Dalí|1904-05-11|1989-01-23|Spain|art|man|Became surrealism’s best-known visual artist through dreamlike paintings and an unmistakable public persona.|Salvador_Dalí|iconic
edward-hopper|Edward Hopper|1882-07-22|1967-05-15|USA|art|man|Painted psychologically charged scenes of modern American life, including Nighthawks.|Edward_Hopper|iconic
louise-bourgeois|Louise Bourgeois|1911-12-25|2010-05-31|France / USA|art|woman|Created psychologically intense sculptures and installations across a career spanning seven decades.|Louise_Bourgeois|well-known
ansel-adams|Ansel Adams|1902-02-20|1984-04-22|USA|art|man|Raised the profile of landscape photography through precise large-format images and environmental advocacy.|Ansel_Adams|iconic
dorothea-lange|Dorothea Lange|1895-05-26|1965-10-11|USA|art|woman|Documented the Great Depression and wartime displacement through photographs that shaped public memory.|Dorothea_Lange|well-known
edmund-hillary|Edmund Hillary|1919-07-20|2008-01-11|New Zealand|exploration|man|Reached the summit of Mount Everest with Tenzing Norgay and later supported Himalayan communities.|Edmund_Hillary|iconic
jacques-cousteau|Jacques Cousteau|1910-06-11|1997-06-25|France|exploration|man|Pioneered marine exploration, underwater filming and public awareness of ocean conservation.|Jacques_Cousteau|iconic
neil-armstrong|Neil Armstrong|1930-08-05|2012-08-25|USA|exploration|man|Commanded Apollo 11 and became the first person to walk on the Moon.|Neil_Armstrong|iconic
roald-amundsen|Roald Amundsen|1872-07-16|1928-06-18|Norway|exploration|man|Led the first expedition to reach the South Pole and completed major polar voyages.|Roald_Amundsen|iconic
thor-heyerdahl|Thor Heyerdahl|1914-10-06|2002-04-18|Norway|exploration|man|Used expeditions such as the Kon-Tiki voyage to investigate hypotheses about ancient ocean travel.|Thor_Heyerdahl|well-known
sally-ride|Sally Ride|1951-05-26|2012-07-23|USA|exploration|woman|Became the first American woman in space and later promoted science education.|Sally_Ride|iconic
hedy-lamarr|Hedy Lamarr|1914-11-09|2000-01-19|Austria / USA|engineering|woman|Co-invented a frequency-hopping communication system that later informed wireless technologies.|Hedy_Lamarr|iconic
isambard-brunel|Isambard Kingdom Brunel|1806-04-09|1859-09-15|UK|engineering|man|Designed pioneering railways, bridges, tunnels and steamships during Britain’s industrial expansion.|Isambard_Kingdom_Brunel|iconic
robert-noyce|Robert Noyce|1927-12-12|1990-06-03|USA|engineering|man|Co-invented the integrated circuit and co-founded Intel, helping establish Silicon Valley’s semiconductor industry.|Robert_Noyce|iconic
mary-jackson|Mary Jackson|1921-04-09|2005-02-11|USA|engineering|woman|Became NASA’s first Black female engineer and advocated for women and minorities in technical careers.|Mary_Jackson_(engineer)|well-known
claude-shannon|Claude Shannon|1916-04-30|2001-02-24|USA|engineering|man|Founded information theory and showed how Boolean logic could be used in digital circuit design.|Claude_Shannon|iconic
jack-kilby|Jack Kilby|1923-11-08|2005-06-20|USA|engineering|man|Co-invented the integrated circuit and shared the Nobel Prize in Physics.|Jack_Kilby|well-known
michael-jackson|Michael Jackson|1958-08-29|2009-06-25|USA|music|man|Reshaped global pop music through landmark recordings, performance and music-video production.|Michael_Jackson|iconic
prince-musician|Prince|1958-06-07|2016-04-21|USA|music|man|Combined songwriting, virtuoso musicianship and visual performance across an influential catalogue.|Prince_(musician)|iconic
amelia-earhart|Amelia Earhart|1897-07-24|1937-07-02|USA|exploration|woman|Set aviation records and became the first woman to fly solo across the Atlantic Ocean.|Amelia_Earhart|iconic
diana-princess-of-wales|Diana, Princess of Wales|1961-07-01|1997-08-31|UK|activism|woman|Used worldwide public attention to support humanitarian causes including landmine removal and HIV awareness.|Diana,_Princess_of_Wales|iconic
albert-einstein|Albert Einstein|1879-03-14|1955-04-18|Germany / USA|science|man|Transformed modern physics through relativity and foundational contributions to quantum theory.|Albert_Einstein|iconic
charles-darwin|Charles Darwin|1809-02-12|1882-04-19|UK|science|man|Established evolution by natural selection as a unifying explanation for the diversity of life.|Charles_Darwin|iconic
pablo-picasso|Pablo Picasso|1881-10-25|1973-04-08|Spain / France|art|man|Co-founded Cubism and repeatedly reshaped modern art across painting, sculpture and printmaking.|Pablo_Picasso|iconic
claude-monet|Claude Monet|1840-11-14|1926-12-05|France|art|man|Helped found Impressionism and pursued changing light through sustained series of landscape paintings.|Claude_Monet|iconic
maya-angelou|Maya Angelou|1928-04-04|2014-05-28|USA|literature|woman|Wrote influential autobiographies and poetry while working across the American civil-rights movement.|Maya_Angelou|iconic
muhammad-ali|Muhammad Ali|1942-01-17|2016-06-03|USA|activism|man|Became a defining heavyweight boxer and an outspoken global figure in civil rights and antiwar activism.|Muhammad_Ali|iconic
katherine-johnson|Katherine Johnson|1918-08-26|2020-02-24|USA|mathematics|woman|Calculated orbital trajectories for NASA missions including the first crewed Moon landing.|Katherine_Johnson|iconic
zaha-hadid|Zaha Hadid|1950-10-31|2016-03-31|Iraq / UK|art|woman|Designed radically geometric buildings and became the first woman awarded the Pritzker Architecture Prize.|Zaha_Hadid|iconic
wangari-maathai|Wangari Maathai|1940-04-01|2011-09-25|Kenya|activism|woman|Founded the Green Belt Movement and became the first African woman awarded the Nobel Peace Prize.|Wangari_Maathai|well-known
hannah-arendt|Hannah Arendt|1906-10-14|1975-12-04|Germany / USA|literature|woman|Developed influential political thought on power, totalitarianism, responsibility and public life.|Hannah_Arendt|well-known
josephine-baker|Josephine Baker|1906-06-03|1975-04-12|USA / France|activism|woman|Became an international performer, aided the French Resistance and campaigned for civil rights.|Josephine_Baker|iconic
octavia-butler|Octavia E. Butler|1947-06-22|2006-02-24|USA|literature|woman|Expanded science fiction through novels examining power, hierarchy, race, gender and survival.|Octavia_E._Butler|well-known
